duchy_name,kingdom_name_867,empire_name_867,county_count_867,barony_count_867,average_development_867,special_buildings,alternative_names,capital_county_name,duchy_id,start_date,source
Portucale,Galicia,Hispania,2,8,5,,"Burtughal (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Porto,d_porto,867,CK3 Wiki List of duchies
Coimbra,Galicia,Hispania,4,11,5,University,"Kulumriyya (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Coimbra,d_coimbra,867,CK3 Wiki List of duchies
Marrakesh,Maghreb,Maghreb,6,24,7,Grand Mosque,,Marrakesh,d_marrakesh,867,CK3 Wiki List of duchies
Sous,Maghreb,Maghreb,4,16,5,,,Sous,d_sous,867,CK3 Wiki List of duchies
Tafilalt,Maghreb,Maghreb,3,8,6,Grand Mosque,,Sijilmasa,d_tafilalt,867,CK3 Wiki List of duchies
Fes,Maghreb,Maghreb,5,20,10,University of al-QarawiyyinGrand Mosque,,Fes,d_fes,867,CK3 Wiki List of duchies
Rif,Maghreb,Maghreb,3,9,9,,,Tangiers,d_rif,867,CK3 Wiki List of duchies
Canarias,Maghreb,Maghreb,3,5,2,Grand TempleGrand Temple,Al-Guañac (Guanche),Achinech,d_canarias,867,CK3 Wiki List of duchies
Tlemcen,Tahert,Maghreb,4,14,9,,,Tlemcen,d_tlemcen,867,CK3 Wiki List of duchies
Tahert,Tahert,Maghreb,4,15,5,,,Tahert,d_tahert,867,CK3 Wiki List of duchies
Alger,Tahert,Maghreb,2,7,8,,,Algier,d_alger,867,CK3 Wiki List of duchies
Bejaia,Tahert,Maghreb,2,6,9,,,Bejaia,d_bejaia,867,CK3 Wiki List of duchies
Zab,Tahert,Maghreb,3,10,3,,,Hodna,d_zab,867,CK3 Wiki List of duchies
Mzab,Tahert,Maghreb,4,12,3,,,Wargla,d_mzab,867,CK3 Wiki List of duchies
Kairouan,Africa,Maghreb,3,13,7,Kairouan Basins,,Kairwan,d_kairouan,867,CK3 Wiki List of duchies
Tunis,Africa,Maghreb,4,14,9,Grand CathedralUniversity,,Tunis,d_tunis,867,CK3 Wiki List of duchies
Kroumerie,Africa,Maghreb,2,8,7,,,Constantine,d_kroumerie,867,CK3 Wiki List of duchies
Gabes,Africa,Maghreb,2,5,7,,,Gabes,d_gabes,867,CK3 Wiki List of duchies
Jerid,Africa,Maghreb,4,11,3,,,Qashtiliya,d_jerid,867,CK3 Wiki List of duchies
Tripolitania,Africa,Maghreb,3,11,4,,,Tripolitana,d_tripolitania,867,CK3 Wiki List of duchies
Syrte,Africa,Maghreb,3,9,3,,,Syrte,d_syrte,867,CK3 Wiki List of duchies
Zammour,Anbiya,Maghreb,3,8,3,,,Zammour,d_zammour,867,CK3 Wiki List of duchies
Adrar,Anbiya,Maghreb,3,8,3,Grand TempleIjil Mining Pits,,Wadan,d_adrar,867,CK3 Wiki List of duchies
Touat,Anbiya,Maghreb,2,7,4,,,Touat,d_touat,867,CK3 Wiki List of duchies
Taghaza,Anbiya,Maghreb,2,6,5,Taghaza Mining Pits,,Taghaza,d_taghaza,867,CK3 Wiki List of duchies
Tadmekka,Sahara,Maghreb,2,5,3,,,Tadmekka,d_tadmekka,867,CK3 Wiki List of duchies
Ghat,Sahara,Maghreb,2,10,5,,,Ghat,d_ghat,867,CK3 Wiki List of duchies
Air,Sahara,Maghreb,2,6,3,Takkeda Mining Settlement,,Takkeda,d_air,867,CK3 Wiki List of duchies
Kawar,Sahara,Maghreb,3,10,4,,,Bilma,d_kawar,867,CK3 Wiki List of duchies
Tibesti,Sahara,Maghreb,3,9,3,,,Ain Galakka,d_tibesti,867,CK3 Wiki List of duchies
Fezzan,Sahara,Maghreb,3,9,3,,,Murzuk,d_fezzan,867,CK3 Wiki List of duchies
Al-Jawf,Arabia,Arabian Empire,3,9,4,,,Al-Jawf,d_jawf,867,CK3 Wiki List of duchies
Amman,Arabia,Arabian Empire,3,8,8,,,Balqa',d_amman,867,CK3 Wiki List of duchies
Shammar,Arabia,Arabian Empire,4,15,7,,,Tabuk,d_shammar,867,CK3 Wiki List of duchies
Medina,Arabia,Arabian Empire,5,20,7,The Prophetic Mosque,,Medina,d_medina,867,CK3 Wiki List of duchies
Mecca,Arabia,Arabian Empire,4,14,11,Great Mosque of Mecca,,Mecca,d_mecca,867,CK3 Wiki List of duchies
Asir,Arabia,Arabian Empire,2,5,1,,,Aqiq,d_asir,867,CK3 Wiki List of duchies
Najd,Arabia,Arabian Empire,6,26,2,,,Sharaf,d_najd,867,CK3 Wiki List of duchies
Yamama,Arabia,Arabian Empire,3,8,1,Grand Mosque,,Yamama,d_yamama,867,CK3 Wiki List of duchies
Al-Hasa,Arabia,Arabian Empire,4,9,4,,,Al-Hasa,d_al-hasa,867,CK3 Wiki List of duchies
Bahrain,Arabia,Arabian Empire,3,10,5,Grand Mosque,,Qatif,d_bahrain,867,CK3 Wiki List of duchies
Oman,Arabia,Arabian Empire,6,20,4,Grand Mosque,,Nizwa,d_oman,867,CK3 Wiki List of duchies
San'a',Yemen,Arabian Empire,4,15,9,,,San'a',d_sanaa,867,CK3 Wiki List of duchies
Jawf al-Yamani,Yemen,Arabian Empire,2,6,3,,,Al-Jawf al-Yamani,d_jawf-al-yamani,867,CK3 Wiki List of duchies
Ta'izz,Yemen,Arabian Empire,3,13,9,,,Ta'izz,d_taizz,867,CK3 Wiki List of duchies
Hadramawt,Yemen,Arabian Empire,3,9,3,,,Hadramawt,d_hadramawt,867,CK3 Wiki List of duchies
Mahra,Yemen,Arabian Empire,3,8,3,,,Mahra,d_mahra,867,CK3 Wiki List of duchies
Socotra,Yemen,Arabian Empire,1,2,7,,,Socotra,d_socotra,867,CK3 Wiki List of duchies
Cyrenaica,Egypt,Arabian Empire,4,11,3,,,Barqa,d_cyrenaica,867,CK3 Wiki List of duchies
Alexandria,Egypt,Arabian Empire,3,9,5,Grand Cathedral,,Alexandria,d_alexandria,867,CK3 Wiki List of duchies
Delta,Egypt,Arabian Empire,4,14,10,,,Damietta,d_delta,867,CK3 Wiki List of duchies
Cairo,Egypt,Arabian Empire,3,10,11,Al-Azhar UniversityGrand TempleThe Pyramids,,Cairo,d_cairo,867,CK3 Wiki List of duchies
Al-Wahat,Egypt,Arabian Empire,4,9,7,,,Bahriya,d_al-wahat,867,CK3 Wiki List of duchies
Al-Said,Egypt,Arabian Empire,5,19,8,Grand Temple,,Qus,d_al-said,867,CK3 Wiki List of duchies
Eastern Desert,Egypt,Arabian Empire,2,6,6,,,Qusayr,d_eastern_desert,867,CK3 Wiki List of duchies
Sinai,Egypt,Arabian Empire,3,10,8,Grand MosqueSaint Catherine's Monastery,,Farama,d_sinai,867,CK3 Wiki List of duchies
Oultrejourdain,Jerusalem,Arabian Empire,2,7,9,Petra,,Kerak,d_oultrejourdain,867,CK3 Wiki List of duchies
Palestine,Jerusalem,Arabian Empire,3,8,8,Dome of the RockGrand Temple,,Jerusalem,d_palestine,867,CK3 Wiki List of duchies
Urdunn,Jerusalem,Arabian Empire,3,6,9,Grand Temple,,Tiberias,d_urdunn,867,CK3 Wiki List of duchies
Aleppo,Syria,Arabian Empire,4,12,7,Citadel of Aleppo,,Aleppo,d_aleppo,867,CK3 Wiki List of duchies
Edessa,Syria,Arabian Empire,4,11,7,,,Edessa,d_edessa,867,CK3 Wiki List of duchies
Homs,Syria,Arabian Empire,3,8,8,,,Homs,d_homs,867,CK3 Wiki List of duchies
Antioch,Syria,Arabian Empire,2,7,10,Grand Cathedral,,Antiocheia,d_antioch,867,CK3 Wiki List of duchies
Lebanon,Syria,Arabian Empire,2,4,10,Grand Mosque,,Beirut,d_lebanon,867,CK3 Wiki List of duchies
Damascus,Syria,Arabian Empire,4,13,6,Great Mosque of DamascusGrand Temple,,Damascus,d_damascus,867,CK3 Wiki List of duchies
Palmyra,Syria,Arabian Empire,3,7,5,Grand Mosque,,Palmyra,d_palmyra,867,CK3 Wiki List of duchies
Aksum,Abyssinia,Abyssinia,3,13,8,Grand Cathedral,,Tigré,d_aksum,867,CK3 Wiki List of duchies
Dahlaks,Abyssinia,Abyssinia,3,7,7,,,Dahlak,d_dahlaks,867,CK3 Wiki List of duchies
Lasta,Abyssinia,Abyssinia,4,14,5,St George of Lalibela,,Lasta,d_lasta,867,CK3 Wiki List of duchies
Gondar,Abyssinia,Abyssinia,3,11,5,Grand Temple,,Dämbiya,d_gondar,867,CK3 Wiki List of duchies
Gojjam,Abyssinia,Abyssinia,3,10,1,,,Gojjam,d_gojjam,867,CK3 Wiki List of duchies
Showa,Abyssinia,Abyssinia,4,13,3,,,Showa,d_showa,867,CK3 Wiki List of duchies
Nobatia,Nubia,Abyssinia,5,12,5,,,Qasr Ibrim,d_nobatia,867,CK3 Wiki List of duchies
Makuria,Nubia,Abyssinia,6,27,6,Grand CathedralGrand Temple,,Dongola,d_makuria,867,CK3 Wiki List of duchies
Shamir,Nubia,Abyssinia,3,8,5,,,Shamir,d_shamir,867,CK3 Wiki List of duchies
Alwa,Nubia,Abyssinia,5,18,1,,,Alodia,d_alwa,867,CK3 Wiki List of duchies
Alodia,Nubia,Abyssinia,4,13,1,Grand Temple,,Sennar,d_sennar,867,CK3 Wiki List of duchies
Naqis,Blemmyia,Abyssinia,4,12,3,Wadi al-Allaq Mining SettlementGrand Temple,,Aydhab,d_naqis,867,CK3 Wiki List of duchies
Bazin,Blemmyia,Abyssinia,3,7,4,,,Bazin,d_bazin,867,CK3 Wiki List of duchies
Baqlin,Blemmyia,Abyssinia,6,18,1,,,Baqlin,d_baqlin,867,CK3 Wiki List of duchies
Damot,Damot,Abyssinia,4,14,2,,,Damot,d_damot,867,CK3 Wiki List of duchies
Kaffa,Damot,Abyssinia,3,9,1,Grand Temple,,Kaffa,d_kaffa,867,CK3 Wiki List of duchies
Sharka,Damot,Abyssinia,4,11,2,,,Sharka,d_sharka,867,CK3 Wiki List of duchies
Dawaro,Adal,Abyssinia,3,10,1,,,Dawaro,d_dawaro,867,CK3 Wiki List of duchies
Adal,Adal,Abyssinia,4,12,3,Grand Temple,,Dakkar,d_adal,867,CK3 Wiki List of duchies
Mora,Adal,Abyssinia,2,6,1,,,Awssa,d_mora,867,CK3 Wiki List of duchies
Danakil,Adal,Abyssinia,3,8,1,Grand Temple,,Danakil,d_danakil,867,CK3 Wiki List of duchies
Zaila,Adal,Abyssinia,3,9,5,,,Zaila,d_zaila,867,CK3 Wiki List of duchies
Sanaag,Adal,Abyssinia,3,9,2,Grand Temple,,Mait,d_sanaag,867,CK3 Wiki List of duchies
Hafun,Ajuraan,Azania,4,10,1,,,Ras Hafun,d_hafun,867,CK3 Wiki List of duchies
Mogadishu,Ajuraan,Azania,4,15,1,Grand Temple,,Mogadishu,d_mogadishu,867,CK3 Wiki List of duchies
West Ajuraan,Ajuraan,Azania,5,15,1,,,Bardhere,d_west_ajuraan,867,CK3 Wiki List of duchies
Shabelle,Bale,Azania,3,11,1,,,Gode,d_shabelle,867,CK3 Wiki List of duchies
Bali,Bale,Azania,2,8,2,,,Sidamo,d_bali,867,CK3 Wiki List of duchies
Samalo,Bale,Azania,4,11,0,,,Marsabit,d_samalo,867,CK3 Wiki List of duchies
Pate,Zanj,Azania,3,9,2,Pate Island Trade PortsLamu Trade Ports,,Pate,d_pate,867,CK3 Wiki List of duchies
Mombasa,Zanj,Azania,2,5,2,Port of MombasaGrand Temple,,Mombasa,d_mombasa,867,CK3 Wiki List of duchies
Bonde la Ufa,Zanj,Azania,5,13,1,Grand TempleGrand Temple,,Kirinyaga,d_bonde_la_ufa,867,CK3 Wiki List of duchies
Zanzibar,Zanj,Azania,4,9,2,Pemba Trade PortsZanzibar Trade Ports,,Zanzibar,d_zanzibar,867,CK3 Wiki List of duchies
Kanem,Kanem,Kanem-Bornu,2,9,5,,,Kanem,d_kanem,867,CK3 Wiki List of duchies
Bornu,Kanem,Kanem-Bornu,4,16,4,Grand Temple,,Bornu,d_bornu,867,CK3 Wiki List of duchies
Kagha,Kanem,Kanem-Bornu,3,11,3,,,Kagha,d_kagha,867,CK3 Wiki List of duchies
Baguirmi,Sao,Kanem-Bornu,6,20,1,,,Baguirmi,d_baguirmi,867,CK3 Wiki List of duchies
Salamat,Sao,Kanem-Bornu,2,5,1,,,Salamat,d_salamat,867,CK3 Wiki List of duchies
Wandala,Sao,Kanem-Bornu,5,17,2,Grand Temple,,Wandala,d_wandala,867,CK3 Wiki List of duchies
Kano,Hausaland,Kanem-Bornu,3,7,6,Kano EarthworksGrand Temple,,Kano,d_kano,867,CK3 Wiki List of duchies
Katsina,Hausaland,Kanem-Bornu,3,6,6,,,Katsina,d_katsina,867,CK3 Wiki List of duchies
Kebbi,Hausaland,Kanem-Bornu,3,10,3,,,Kebbi,d_kebbi,867,CK3 Wiki List of duchies
Gobir,Hausaland,Kanem-Bornu,2,6,1,,,Gobir,d_gobir,867,CK3 Wiki List of duchies
Dárfúr,Darfur,Kanem-Bornu,4,17,3,Grand Temple,,El-Fasher,d_darfur,867,CK3 Wiki List of duchies
West Dárfúr,Darfur,Kanem-Bornu,3,9,1,,,Ayn Farah,d_west_darfur,867,CK3 Wiki List of duchies
Wadaï,Darfur,Kanem-Bornu,6,18,1,,,Wadaï,d_wadai,867,CK3 Wiki List of duchies
Kordofan,Darfur,Kanem-Bornu,3,9,1,,,Kordofan,d_kordofan,867,CK3 Wiki List of duchies
Kawkaw,Songhay,Mali,3,10,7,Grand Temple,,Gao,d_kawkaw,867,CK3 Wiki List of duchies
Timbuktu,Songhay,Mali,2,6,3,The University of Sankoré,,Tirakka,d_timbuktu,867,CK3 Wiki List of duchies
Dendi,Songhay,Mali,3,9,2,,,Dendi,d_dendi,867,CK3 Wiki List of duchies
Lower Gurma,Gurma,Mali,4,13,2,,,Gurma,d_lower_gurma,867,CK3 Wiki List of duchies
Upper Gurma,Gurma,Mali,3,11,1,,,Oudalan,d_upper_gurma,867,CK3 Wiki List of duchies
Yatenga,Gurma,Mali,4,13,2,,,Yatenga,d_yatenga,867,CK3 Wiki List of duchies
Wagadu,Ghana,Mali,3,11,8,Grand Temple,,Awkar,d_wagadu,867,CK3 Wiki List of duchies
Mema,Ghana,Mali,3,11,7,,,Mema,d_mema,867,CK3 Wiki List of duchies
Tagant,Ghana,Mali,3,7,6,,,Hodh,d_tagant,867,CK3 Wiki List of duchies
Diafunu,Ghana,Mali,3,8,6,,,Guidimaka,d_diafunu,867,CK3 Wiki List of duchies
Kaniaga,Ghana,Mali,4,11,5,,,Kaniaga,d_kaniaga,867,CK3 Wiki List of duchies
Manding,Mali,Mali,6,23,3,Grand TempleGold Mining SettlementGold Mining Settlement,,Niani,d_manding,867,CK3 Wiki List of duchies
Bambuk,Mali,Mali,4,17,3,Gold Mining Settlement,,Bambuk,d_bambuk,867,CK3 Wiki List of duchies
Fura Jalon,Mali,Mali,3,12,2,,,Futa Jalon,d_futa_jalon,867,CK3 Wiki List of duchies
Loma,Mali,Mali,3,12,2,Grand Temple,,Kuranko,d_loma,867,CK3 Wiki List of duchies
Takrūr,Takrūr,Mali,3,7,4,,,Takrūr,d_takrur,867,CK3 Wiki List of duchies
Silla,Takrūr,Mali,3,9,4,,,Silla,d_silla,867,CK3 Wiki List of duchies
Djolof,Takrūr,Mali,4,13,3,Grand Temple,,Jolof,d_djolof,867,CK3 Wiki List of duchies
Jenne,Jenne,Mali,4,16,6,Great Mosque of Djenne,,Jenne,d_jenne,867,CK3 Wiki List of duchies
Bobo,Jenne,Mali,2,5,2,,,Sikasso,d_bobo,867,CK3 Wiki List of duchies
Kaabu,Kaabu,Mali,2,8,3,,,Kaabu,d_kaabu,867,CK3 Wiki List of duchies
Wuli,Kaabu,Mali,3,8,2,,,Wuli,d_wuli,867,CK3 Wiki List of duchies
Kasa,Kaabu,Mali,3,11,2,Grand Temple,,Kasa,d_kasa,867,CK3 Wiki List of duchies
Sapi,Guinea,Guinea,4,12,0,,,Temne,d_sapi,867,CK3 Wiki List of duchies
Kono,Guinea,Guinea,3,10,0,Grand Temple,,Kono,d_kono,867,CK3 Wiki List of duchies
Bassa,Guinea,Guinea,3,9,0,,,Bassa,d_bassa,867,CK3 Wiki List of duchies
Toro,Guinea,Guinea,5,17,1,,,Toro,d_toro,867,CK3 Wiki List of duchies
Wenyon,Guinea,Guinea,2,7,0,,,Wenyon,d_wenyon,867,CK3 Wiki List of duchies
Kru,Guinea,Guinea,4,11,0,,,Kru,d_kru,867,CK3 Wiki List of duchies
Worodugu,Kong,Guinea,3,14,1,,,Worodugu,d_worodugu,867,CK3 Wiki List of duchies
Kong,Kong,Guinea,4,16,1,,,Kong,d_kong,867,CK3 Wiki List of duchies
Lobi,Kong,Guinea,4,13,0,,,Lobi,d_lobi,867,CK3 Wiki List of duchies
Ashanti,Akan,Guinea,5,17,2,Grand Temple,,Kumasi,d_ashanti,867,CK3 Wiki List of duchies
Adiukru,Akan,Guinea,3,9,0,,,Attie,d_adiukru,867,CK3 Wiki List of duchies
Gyaman,Akan,Guinea,2,7,1,,,Bonduku,d_gyaman,867,CK3 Wiki List of duchies
Brong,Akan,Guinea,4,14,4,Grand Temple,,Bono,d_brong,867,CK3 Wiki List of duchies
Eweland,Akan,Guinea,3,10,1,,,Ewe,d_eweland,867,CK3 Wiki List of duchies
Dagomba,Gur,Guinea,3,9,2,,,Dagomba,d_dagomba,867,CK3 Wiki List of duchies
Wagadugu,Gur,Guinea,2,6,2,,,Wagadugu,d_wagadugu,867,CK3 Wiki List of duchies
Mamprusi,Gur,Guinea,3,12,0,,,Mamprusi,d_mamprusi,867,CK3 Wiki List of duchies
Borgu,Borgu,Guinea,5,16,3,Grand Temple,,Nikki,d_borgu,867,CK3 Wiki List of duchies
Savalu,Borgu,Guinea,4,12,0,,,Savalu,d_savalu,867,CK3 Wiki List of duchies
Ibadan,Yorubaland,Guinea,4,10,0,,,Ibadan,d_ibadan,867,CK3 Wiki List of duchies
Oyo,Yorubaland,Guinea,5,17,2,,,Oyo,d_oyo,867,CK3 Wiki List of duchies
Ife,Yorubaland,Guinea,3,9,4,Grand Temple,,Ife,d_ife,867,CK3 Wiki List of duchies
Benin,Yorubaland,Guinea,2,6,3,Walls of Benin,,Benin,d_benin,867,CK3 Wiki List of duchies
Igboland,Igbo-Benue,Guinea,5,17,1,Grand Temple,,Igbo,d_igboland,867,CK3 Wiki List of duchies
Nupe,Igbo-Benue,Guinea,4,15,1,,,Nupe,d_nupe,867,CK3 Wiki List of duchies
Kwararafa,Igbo-Benue,Guinea,3,10,1,,,Kwararafa,d_kwararafa,867,CK3 Wiki List of duchies
Sauvira,Sindh,Rajasthan,5,18,12,,,Debul,d_sauvira,867,CK3 Wiki List of duchies
Bhakkar,Sindh,Rajasthan,5,18,7,,,Bhakkar,d_bhakkar,867,CK3 Wiki List of duchies
Multan,Punjab,Rajasthan,6,20,12,Grand Temple,,Multan,d_multan,867,CK3 Wiki List of duchies
Lahore,Punjab,Rajasthan,8,28,12,,,Lahur,d_lahore,867,CK3 Wiki List of duchies
Gandhara,Punjab,Rajasthan,5,15,12,Grand Temple,,Udabhanda,d_gandhara,867,CK3 Wiki List of duchies
Kuru,Delhi,Rajasthan,3,13,12,Iron Pillar of DelhiGrand Temple,,Delhi,d_kuru,867,CK3 Wiki List of duchies
Haritanaka,Delhi,Rajasthan,3,8,5,Grand Temple,,Tribandapura,d_haritanaka,867,CK3 Wiki List of duchies
Mathura,Delhi,Rajasthan,3,10,12,Grand Temple,,Mathura,d_mathura,867,CK3 Wiki List of duchies
Vodamayutja,Delhi,Rajasthan,3,11,12,,,Vodamayutja,d_vodamayutja,867,CK3 Wiki List of duchies
Gurjara Mandala,Gujarat,Rajasthan,3,12,12,,,Sarasvata Mandala,d_gurjara_mandala,867,CK3 Wiki List of duchies
Anartta,Gujarat,Rajasthan,3,10,5,Grand Temple,,Dvaraka,d_anartta,867,CK3 Wiki List of duchies
Saurashtra,Gujarat,Rajasthan,4,16,7,Grand TempleUniversity,,Bhumilka,d_saurashtra,867,CK3 Wiki List of duchies
Lata,Gujarat,Rajasthan,3,11,12,,,Vadodara,d_lata,867,CK3 Wiki List of duchies
Maru,Rajputana,Rajasthan,4,13,5,Grand Temple,,Mandavyapura,d_maru,867,CK3 Wiki List of duchies
Jangladesh,Rajputana,Rajasthan,3,8,3,,,Nagauda,d_jangladesh,867,CK3 Wiki List of duchies
Stravani,Rajputana,Rajasthan,2,7,5,Golden Fort,,Ludrava,d_stravani,867,CK3 Wiki List of duchies
Medapata,Rajputana,Rajasthan,3,12,7,Zawar Mining Settlement,,Medapata,d_medapata,867,CK3 Wiki List of duchies
Ajmer,Rajputana,Rajasthan,5,18,7,Khetri Mining Settlement,,Ajayameru,d_ajmer,867,CK3 Wiki List of duchies
Avanti,Malwa,Rajasthan,4,14,12,UniversityIron Pillar of Dhar,,Ujjayini,d_dadhipadra,867,CK3 Wiki List of duchies
Akara-Dasarna,Malwa,Rajasthan,4,17,12,Grand TempleKhajuraho,,Vidisa,d_akara_dasarna,867,CK3 Wiki List of duchies
Anupa,Malwa,Rajasthan,4,13,12,,,Mandapika,d_anupa,867,CK3 Wiki List of duchies
Kanyakubja,Kosala,Rajasthan,6,15,14,,,Kanyakubja,d_kanyakubja,867,CK3 Wiki List of duchies
Saryupara,Kosala,Rajasthan,3,9,8,Grand Temple,,Ayodhyā,d_saryupara,867,CK3 Wiki List of duchies
Jejakabhukti,Kosala,Rajasthan,4,13,7,,,Mahoba,d_jejakabhukti,867,CK3 Wiki List of duchies
Kurmanchal,Himalaya,Rajasthan,4,12,5,Grand TempleGrand Temple,,Kumaon,d_kurmanchal,867,CK3 Wiki List of duchies
Khasa,Himalaya,Rajasthan,6,15,5,Grand TempleGrand Temple,,Jumla,d_khasa,867,CK3 Wiki List of duchies
Nepal,Himalaya,Rajasthan,3,9,5,Grand TempleUniversity,,Kathmandu,d_nepal,867,CK3 Wiki List of duchies
Limbuwan,Himalaya,Rajasthan,3,9,5,Grand Temple,,Ilam,d_limbuwan,867,CK3 Wiki List of duchies
Kasmira,Kashmir,Rajasthan,3,9,12,University,,Kasmira,d_kasmira,867,CK3 Wiki List of duchies
Pamir,Kashmir,Rajasthan,3,8,9,Grand Temple,,Gilgit,d_pamir,867,CK3 Wiki List of duchies
Gauda,Bengal,Pracya,4,14,12,Grand Temple,,Laksmanāvati,d_gauda,867,CK3 Wiki List of duchies
Varendra,Bengal,Pracya,3,10,12,Somapura University,,Pundravardhana,d_varendra,867,CK3 Wiki List of duchies
Vanga,Bengal,Pracya,5,18,12,,,Bikrampur,d_vanga,867,CK3 Wiki List of duchies
Nadia,Bengal,Pracya,3,9,12,,,Nabadwipa,d_nadia,867,CK3 Wiki List of duchies
Suhma,Bengal,Pracya,3,8,12,,,Mallabhum,d_suhma,867,CK3 Wiki List of duchies
Kamarupanagara,Kamarupa,Pracya,2,7,7,,,Kamarupanagara,d_kamarupanagara,867,CK3 Wiki List of duchies
Sutiya,Kamarupa,Pracya,3,9,5,,,Haruppeswara,d_sutiya,867,CK3 Wiki List of duchies
Para-Lauhitya,Kamarupa,Pracya,4,12,3,Grand Temple,,Goalpara,d_para_lauhitya,867,CK3 Wiki List of duchies
Magadha,Bihar,Pracya,4,14,12,Nalanda UniversityMahabodhi Temple,,Magadha,d_magadha,867,CK3 Wiki List of duchies
Tirabhukti,Bihar,Pracya,4,13,12,,,Mithila,d_tirabhukti,867,CK3 Wiki List of duchies
Kasi,Bihar,Pracya,3,7,12,Grand Temple,,Jaunpur,d_kasi,867,CK3 Wiki List of duchies
Jharkand,Bihar,Pracya,5,12,3,,,Munda,d_jharkand,867,CK3 Wiki List of duchies
Dahala,Gondwana,Pracya,2,9,5,,,Tripurī,d_dahala,867,CK3 Wiki List of duchies
Ratanpur,Gondwana,Pracya,3,8,5,,,Ratanpur,d_ratanpur,867,CK3 Wiki List of duchies
Tosali,Orissa,Pracya,5,22,12,Konarak Sun Temple,,Kataka,d_tosali,867,CK3 Wiki List of duchies
Daksina Kosala,Orissa,Pracya,5,16,7,,,Rayapura,d_daksina_kosala,867,CK3 Wiki List of duchies
Kalinga,Orissa,Pracya,4,11,7,Grand Temple,,Kalinganagar,d_kalinga,867,CK3 Wiki List of duchies
Dandakaranya,Orissa,Pracya,2,6,5,,,Cakrakuta,d_dandakaranya,867,CK3 Wiki List of duchies
Devagiri,Maharastra,Deccan Empire,3,10,8,Grand Temple,,Devagiri,d_devagiri,867,CK3 Wiki List of duchies
Vidharba,Maharastra,Deccan Empire,4,14,5,,,Acalapura,d_vidharba,867,CK3 Wiki List of duchies
Konkana,Maharastra,Deccan Empire,3,11,12,,,Surparaka,d_konkana,867,CK3 Wiki List of duchies
Nasikya,Maharastra,Deccan Empire,2,8,7,,,Kondana,d_nasikya,867,CK3 Wiki List of duchies
Rattapadi,Maharastra,Deccan Empire,5,19,7,,,Taradavadi,d_rattapadi,867,CK3 Wiki List of duchies
Kalyani,Karnata,Deccan Empire,2,7,12,University,,Kalyani,d_kalyani,867,CK3 Wiki List of duchies
Gangavadi,Karnata,Deccan Empire,3,11,12,,,Manyapura,d_gangavadi,867,CK3 Wiki List of duchies
Nulambavadi,Karnata,Deccan Empire,5,16,7,Grand Temple,,Uchangidurga,d_nulambavadi,867,CK3 Wiki List of duchies
Raichur Doab,Karnata,Deccan Empire,4,14,12,Vatapi Caves,,Idatarainadu,d_raichur_doab,867,CK3 Wiki List of duchies
Pandya Nadu,Tamilakam,Deccan Empire,3,14,14,Grand Temple,,Madurai,d_pandya_nadu,867,CK3 Wiki List of duchies
Chola Nadu,Tamilakam,Deccan Empire,3,11,14,Brihadeeswarar Temple,,Cholamandalam,d_chola_nadu,867,CK3 Wiki List of duchies
Chera Nadu,Tamilakam,Deccan Empire,5,14,10,Grand CathedralGrand TempleUniversity,,Vembanad,d_chera_nadu,867,CK3 Wiki List of duchies
Tondai Nadu,Tamilakam,Deccan Empire,6,19,7,University,,Kanchipuram,d_tondai_nadu,867,CK3 Wiki List of duchies
Pakanadu,Andhra,Deccan Empire,3,11,7,Grand Temple,,Kammanadu,d_udayagiri,867,CK3 Wiki List of duchies
Vengi,Andhra,Deccan Empire,2,6,7,,,Vengipura,d_vengi,867,CK3 Wiki List of duchies
Warangal,Telingana,Deccan Empire,5,17,7,Kollur Mining PitsKonasamudram Mining Settlement,,Orangallu,d_warangal,867,CK3 Wiki List of duchies
Racakonda,Telingana,Deccan Empire,2,6,7,,,Racakonda,d_racakonda,867,CK3 Wiki List of duchies
Maya,Lanka,Deccan Empire,2,7,7,Ratnapura Mining Pits,,Dakhina Desa,d_dakhina_desa,867,CK3 Wiki List of duchies
Ruhunu,Lanka,Deccan Empire,2,6,7,,,Rohana,d_ruhunu,867,CK3 Wiki List of duchies
Rajarata,Lanka,Deccan Empire,4,10,12,University,,Pihiti,d_sinhala,867,CK3 Wiki List of duchies
Yarlung,Ü,Tibet,5,14,5,,,Zêtang,d_yarlung,867,CK3 Wiki List of duchies
Lhasa,Ü,Tibet,5,18,5,Jokhang Temple,,Lhasa,d_lhasa,867,CK3 Wiki List of duchies
Nagqu,Ü,Tibet,3,10,5,,,Nagqu,d_nagchu,867,CK3 Wiki List of duchies
Co'nyi,Ü,Tibet,4,13,2,,,Cozhêlhoma,d_conyi,867,CK3 Wiki List of duchies
Xigazê,Tsang,Tibet,3,9,5,,,Xigazê,d_xigaze,867,CK3 Wiki List of duchies
Sa'gya,Tsang,Tibet,4,15,5,Grand Temple,,Sa'gya,d_sagya,867,CK3 Wiki List of duchies
Ngamring,Tsang,Tibet,3,10,5,,,Kagar,d_ngamring,867,CK3 Wiki List of duchies
